date,As
2012-9-14,0.001925
2012-9-15,0.00185833
2012-9-16,0.00205
2012-9-17,0.0013
2012-9-18,0.00175833
2012-9-19,0.00139167
2012-9-20,0.00083333
2012-9-21,0
2012-9-22,0.00051667
2012-9-23,0.000275
2012-9-24,0.00030833
2012-9-25,0
2012-9-26,0.00268462
2012-9-27,0.00433333
2012-9-28,0.00435
2012-9-29,0.00424167
2012-9-30,0.00429167
2012-10-1,0.00423333
2012-10-2,0.00409167
2012-10-3,0.00406
2012-10-4,0.004025
2012-10-5,0.004
2012-10-6,0.00403333
2012-10-7,0.0039
2012-10-8,0.00366667
2012-10-9,0.00354167
2012-10-10,0.00364167
2012-10-11,0.00376667
2012-10-12,0.00358333
2012-10-13,0.00356667
2012-10-14,0.00344167
2012-10-15,0.00345
2012-10-16,0.00339167
2012-10-17,0.00335833
2012-10-18,0.00353333
2012-10-19,0.00335
2012-10-20,0.00345
2012-10-21,0.0033
2012-10-22,0.00338333
2012-10-23,0.00316667
2012-10-24,0.00316667
2012-10-25,0.002975
2012-10-26,0.00279167
2012-10-27,0.00245833
2012-10-28,0
2012-10-29,0.001
2012-10-30,0.00305
2012-10-31,0.00318333
2012-11-1,0.0031
2012-11-2,0.00328333
2012-11-3,0.00291667
2012-11-4,0.00286667
2012-11-5,0.00266667
2012-11-6,0.00266667
2012-11-7,0.0022
2012-11-9,0.002
2012-11-10,0.00221667
2012-11-11,0.00236667
2012-11-12,0.00221667
2012-11-13,0.00246667
2012-11-14,0.00242
2012-11-15,0.00248
2012-11-16,0.00188
2012-11-17,0.00163333
2012-11-18,0.00163333
2012-11-19,0.00261667
2012-11-20,0.00296667
2012-11-21,0.0031
2012-11-22,0.00285
2012-11-23,0.0026
2012-11-24,0.00203333
2012-11-25,0.00195
2012-11-26,0.00203333
2012-11-27,0.00185
2012-11-28,0.0018
2012-11-29,0.00173333
2012-11-30,0.0018
2012-12-1,0.00181667
2012-12-2,0.00176667
2012-12-3,0.00171667
2012-12-4,0.00166667
2012-12-5,0.00151667
2012-12-6,0.00153333
2012-12-7,0.0016
2012-12-8,0.0015
2012-12-9,0.00148333
2012-12-10,0.0012
2012-12-11,0.00115
2012-12-12,0.00113333
2012-12-13,0.00085
2012-12-14,0.0005
2012-12-19,0.0001
2012-12-20,0.00005
2012-12-21,0
2012-12-22,0
2012-12-23,0
2012-12-24,0.00185714
2012-12-25,0.00226667
2012-12-26,0.00185
2012-12-27,0.00208
2013-1-2,0.00228
2013-1-3,0
2013-1-4,0
2013-1-5,0
2013-1-6,0.00086667
2013-1-7,0.00146667
2013-1-8,0.00173333
2013-1-9,0.00163333
2013-1-10,0.00168571
2013-1-11,0.00141667
2013-1-12,0
2013-1-13,0
2013-1-14,0.0017
2013-1-15,0.00191667
2013-1-16,0.00206667
2013-1-17,0.0017
2013-1-18,0.00163333
2013-1-19,0.00166667
2013-1-20,0.0016
2013-1-21,0.00135
2013-1-22,0.0013
2013-1-23,0.00126667
2013-1-24,0.00126667
2013-1-25,0.001
2013-1-31,0.00232
2013-2-1,0.0028
2013-2-2,0.00313333
2013-2-3,0.00306667
2013-2-4,0.00305
2013-2-5,0.00301667
2013-2-6,0.00308333
2013-2-7,0.00275
2013-2-8,0.00181667
2013-2-9,0.0017
2013-2-10,0.00163333
2013-2-11,0.002
2013-2-12,0.00191667
2013-2-13,0.00178333
2013-2-14,0.00261667
2013-2-15,0.00225
2013-2-16,0.0037
2013-2-17,0.0121
2013-2-18,0.00463333
2013-2-19,0.00518
2013-2-20,0.00296667
2013-2-21,0.00283333
2013-2-22,0.00426667
2013-2-23,0.00653333
2013-2-24,0.00703333
2013-2-25,0.01631667
2013-2-26,0.0038875
2013-2-27,0.00166667
2013-2-28,0.00496667
2013-3-1,0.00156667
2013-3-2,0.00163333
2013-3-3,0.00175
2013-3-4,0.0021625
2013-3-5,0.00271667
2013-3-6,0.00281667
2013-3-7,0.00303333
2013-3-8,0.003
2013-3-9,0.00275
2013-3-10,0.00436667
2013-3-11,0.00415
2013-3-12,0.00505
2013-3-13,0.00548333
